reduced_separation,g_ij,component_pair
1.7293394530125268,1.5847119633272464,g12
1.7385935085791242,1.5348353573773017,g12
1.7597093693824812,1.469847644300283,g12
1.785725391846286,1.4237687199933067,g12
1.790243043119917,1.3812718413329725,g12
1.827709062139472,1.3307458392864038,g12
1.8374548857768163,1.2830413513148238,g12
1.8753188573629338,1.21962695164176,g12
1.9056408666920983,1.1561281477014957,g12
1.9489016589404173,1.0732404778100224,g12
1.9393336721297005,1.1317768467390041,g12
1.9749192712449222,1.0224954265938133,g12
2.017827846935993,0.9798517956582029,g12
2.0608203948251544,0.9613514251512858,g12
2.0805595302826925,0.9248658145731166,g12
2.1292241542731016,0.9063090553369348,g12
2.181659839434075,0.8789489188521893,g12
2.2342434696852234,0.8753389008437851,g12
2.2872618941180596,0.8775503007641383,g12
2.3587665441434167,0.9044502127308531,g12
2.411427638443782,0.9132757567566618,g12
2.4618108478345153,0.9402900915163914,g12
2.514776532902763,0.9684845107953968,g12
2.5604289908108155,0.9821321002432715,g12
2.61766155552095,1.0082825640269548,g12
2.6631245491298783,1.0131687550681545,g12
2.7229613353720223,1.0223363008000224,g12
2.775985329115585,1.0126462524616748,g12
2.828041012380937,1.00105619464522,g12
2.8806537244098127,1.0021147713544512,g12
2.933209693156101,0.9940641597657853,g12
2.985827409956027,0.9959261690543304,g12
3.038405911444051,0.9914928136054133,g12
3.0910088731869827,0.9909861444112513,g12
3.143595011459661,0.9877787474589228,g12
3.1961703736937706,0.9828414371150984,g12
3.2487660537202645,0.9811658097086906,g12
3.301387659362561,0.983652107825757,g12
3.3540208920799444,0.9880049390634591,g12
3.406663886355277,0.9939248257373907,g12
3.459286021781897,0.9964961718977627,g12
3.5119186204488937,1.0007472169134237,g12
3.5689726129107253,0.9950320053676469,g12
3.6170771535998734,0.992126150098116,g12
3.6696663071343885,0.989402803179495,g12
3.7222771592821307,0.990162806970738,g12
3.774887222389392,0.9907961434634407,g12
3.8274799266060713,0.988642799388253,g12
3.8800959075169397,0.9902261406200084,g12
3.9326988692598723,0.9897194714258464,g12
3.9852990693611208,0.9887694666867932,g12
4.037869962244507,0.9831146765733783,g12
