reduced_separation,g_r,volume_fraction
1.0191626583609317,2.1558832285063074,0.3
1.0312549282447567,2.1309458387042493,0.3
1.0355227882037537,2.0932542113698407,0.3
1.0472594030909956,2.0512518114077434,0.3
1.0693608207358016,1.9981014060421725,0.3
1.0717995978552284,2.037280486788772,0.3
1.0717995978552284,1.959023383701496,0.3
1.0803353177732222,1.904047610878926,0.3
1.0910049676707145,1.8782682431427904,0.3
1.1009633075750411,1.821432364036184,0.3
1.1187460574041954,1.7977636432154371,0.3
1.1187460574041954,1.7565612889669038,0.3
1.1315496372811862,1.7239867961241184,0.3
1.142219287178679,1.6752513798673452,0.3
1.1507550070966728,1.645928651773505,0.3
1.1682532329285604,1.602438798399216,0.3
1.1791057911100098,1.5767952278960409,0.3
1.1819103847973507,1.5432880501819168,0.3
1.1923666416968937,1.515113282417868,0.3
1.2041032565841352,1.4823182506579884,0.3
1.2245889843873208,1.4421191116265948,0.3
1.2323778288124903,1.4111336569477888,0.3
1.2446479261946068,1.367054822551475,0.3
1.25425061110235,1.3302139017200583,0.3
1.2652759159964257,1.3059671215539685,0.3
1.28305866582558,1.2691529127751595,0.3
1.2937283157230723,1.2430902656949188,0.3
1.3150676155180574,1.2060543951278384,0.3
1.3274832081260484,1.1773412074444765,0.3
1.3406747752720394,1.1425646270548053,0.3
1.3662819350260214,1.109744043595701,0.3
1.3829265888661095,1.078899410360377,0.3
1.3985957318584274,1.045868049307478,0.3
1.4260319744519796,1.0124508288865055,0.3
1.451164927543851,0.9810011850051108,0.3
1.4715558140146139,0.9518492269027625,0.3
1.5014308337275932,0.9301561745246771,0.3
1.5375653813804346,0.8969241704283499,0.3
1.5788989584378723,0.8754458714161526,0.3
1.6205752575829266,0.8627865356381026,0.3
1.6692999921148086,0.8558514503812029,0.3
1.7162464516637757,0.854948815073747,0.3
1.7631929112127427,0.8652969661621532,0.3
1.8101393707617097,0.8829810388078494,0.3
1.8560188653209275,0.9044757598110089,0.3
1.899376442631647,0.928742696631216,0.3
1.9447192214687488,0.9555973474982105,0.3
1.9885892652972723,0.9828355003418014,0.3
2.0251738533111743,1.01764052549258,0.3
2.060876143352784,1.0447232470528718,0.3
2.1088895678915,1.0657791870037958,0.3
2.155836027440467,1.0724844983661663,0.3
2.202782486989434,1.0693648942787553,0.3
2.249728946538401,1.061229692601886,0.3
2.296675406087368,1.0490222965226763,0.3
2.3436218656363352,1.0402198796885143,0.3
2.3905683251853023,1.027920612331192,0.3
2.4375147847342693,1.0159227976051768,0.3
2.4844612442832363,1.004648469194298,0.3
2.5314077038322034,0.9934344313096806,0.3
2.5783541633811704,0.9879680902619818,0.3
2.6253006229301374,0.9841496902654274,0.3
2.6722470824791045,0.9804840262687353,0.3
2.7191935420280715,0.9787396203755732,0.3
2.7661400015770385,0.9789164725859396,0.3
2.8130864611260056,0.9795676102695623,0.3
2.8600329206749726,0.9852176938734862,0.3
2.9069793802239396,0.9942784986773401,0.3
2.9539258397729067,0.9997046460408645,0.3
3.0008722993218737,1.0044073070892523,0.3
3.0478187588708407,1.0081453197174584,0.3
3.094765218419808,1.012365656555755,0.3
3.141711677968775,1.014536115501165,0.3
3.188658137517742,1.0148978586587332,0.3
3.235604597066709,1.0148978586587332,0.3
3.282551056615676,1.013089142870892,0.3
3.329497516164643,1.0111598460305276,0.3
3.37644397571361,1.010918683925482,0.3
3.423390435262577,1.0093511302426859,0.3
3.470336894811544,1.007662995507367,0.3
3.517283354360511,1.006818928139708,0.3
3.564229813909478,1.0070600902447533,0.3
3.611176273458445,1.0074218334023215,0.3
3.658122733007412,1.0067948119292032,0.3
3.7050691925563792,1.0071565550867714,0.3
3.7520156521053463,1.0079041576124128,0.3
3.7989621116543133,1.0074580077180784,0.3
3.8459085712032803,1.0070600902447533,0.3
3.8928550307522474,1.0074218334023215,0.3
3.9398014903012144,1.0069395091922306,0.3
3.9867479498501814,1.0048896312993436,0.3
4.03369440939915,1.0047690502468207,0.3
4.080640868948116,1.0050102123518663,0.3
4.127587328497084,1.0053375037801424,0.3
4.17453378804605,1.0037699500973465,0.3
4.221480247595018,1.0008702628819182,0.3
4.268426707143984,1.0008903597240049,0.3
4.315373166692952,1.0056131176144802,0.3
4.362319626241918,1.0080247386649355,0.3
4.409266085790886,1.0073012523497988,0.3
4.456212545339852,1.0075424144548444,0.3
4.50315900488882,1.004348739149456,0.3
4.550105464437786,1.0023091967753563,0.3
4.597051923986754,1.0029040633011355,0.3
4.64399838353572,1.0035230460374187,0.3
4.690944843084688,1.0031613028798507,0.3
4.737891302633654,1.0036838207741159,0.3
4.784837762182622,1.0035632397215932,0.3
4.8317842217315885,1.0035632397215932,0.3
4.878730681280556,1.0035632397215932,0.3
4.925677140829523,1.0034426586690701,0.3
4.9726236003784905,1.004045563931684,0.3
4.998230760132472,1.0056131176144802,0.3
